word,var0_embeddings,var1_embeddings,var2_embeddings,var3_embeddings
SUPER,17,19,17,17
Warrington,1,13,2,2
TITLE,14,21,7,7
county,3,27,13,12
successive,15,16,26,25
b-@,10,13,19,21
Match,2,9,19,19
abandoned,7,21,18,21
Gough,20,4,27,27
Dundee,8,13,16,2
Ross,28,15,16,28
Norwich,26,22,2,2
Bromwich,16,7,5,9
Ipswich,26,6,5,2
Reading,30,13,2,5
Southend,17,13,2,23
Stoke,26,13,2,6
Swindon,26,13,2,2
Wolverhampton,26,13,5,6
Plymouth,17,22,16,18
Spartak,16,7,1,18
Lodz,16,30,29,13
KOREAN,24,24,15,10
Smicer,21,4,25,24
Bordeaux,26,13,2,6
Strasbourg,30,13,3,2
Caen,30,22,21,2
Cannes,30,13,5,6
Kerkrade,5,30,5,13
VfB,17,18,29,5
Duisburg,30,18,5,2
whom,13,5,14,14
flights,4,16,18,21
Public,4,13,29,4
Civil,24,0,16,22
inflation,4,27,13,4
Zaire,12,14,8,9
Eritrea,12,10,0,12
leadership,8,5,13,11
consensus,9,16,7,21
sentenced,9,5,14,5
judicial,13,27,30,11
grenades,4,27,14,14
Basque,18,7,0,23
separatist,15,22,18,19
turn,26,16,7,26
scandal,14,27,14,12
managed,26,6,14,21
Just,5,5,9,8
Bratislava,16,30,0,9
margin,15,17,19,19
witnesses,14,27,19,19
Business,13,30,26,19
defending,15,16,26,12
Eriksson,20,4,25,8
placings,14,22,13,11
Graham,20,23,24,27
Yoshikawa,21,4,27,27
Corser,21,4,25,28
Ducati,27,0,16,5
Slight,19,4,27,27
BUCHAREST,12,10,0,12
contact,13,31,13,8
relief,14,16,6,12
ITALIAN,17,11,0,10
FROM,13,25,13,14
Ronald,20,15,27,20
Club,7,0,26,22
About,19,25,19,19
MEXICO,11,12,0,12
status,14,27,19,19
names,26,27,18,19
employee,22,16,18,21
demanding,14,27,14,11
decisions,5,27,12,12
fraud,4,27,27,4
Juppe,27,4,25,20
grain,14,25,14,8
Gilbertson,23,4,27,27
considering,22,16,18,25
adding,6,16,30,7
Treasury,16,7,5,16
crude,4,6,6,3
SK,21,13,29,18
cement,12,21,14,14
Maleeva,27,4,27,27
Seles,12,4,27,27
tough,4,5,14,19
debut,13,5,14,8
Braves,16,0,29,2
@w,13,26,13,7
@nb,15,14,14,8
ballot,3,16,18,7
administration,12,27,14,12
thin,14,27,14,12
husband,12,19,14,19
limit,15,16,19,25
Hashimoto,27,4,27,24
gunman,23,27,14,4
Petroleum,7,29,15,16
contracts,19,27,14,19
liquidity,26,21,27,21
unknown,15,27,19,19
moved,10,16,14,19
A@,0,15,6,17
Midwest,30,14,4,13
Reeve,23,4,27,27
abortion,12,27,14,25
Oklahoma,18,8,5,15
information,22,25,6,21
Board,21,7,28,25
unable,9,16,9,21
Cozma,27,4,27,20
removed,14,27,14,3
kilometre,19,17,12,11
Mapei,30,13,16,16
McEwen,8,4,1,24
Capiot,20,16,25,9
Collstrop,27,17,29,18
Faulding,30,13,2,6
product,14,27,14,14
Kelly,12,4,1,6
electoral,23,27,19,21
representatives,8,16,7,7
candidate,0,5,18,26
Gajdos,11,23,25,24
Chg,14,21,17,4
dn,4,4,13,4
prompted,15,27,27,10
n.a,4,31,30,4
@-mth,0,18,19,21
acquisition,26,16,19,5
landed,4,31,18,19
Latest,14,17,19,7
CSU,7,30,28,1
SPD,18,6,2,5
FDP,26,6,2,5
Greens,17,6,2,18
PDS,30,22,2,23
Emnid,17,19,3,5
Elect,16,0,29,16
Res,7,15,26,2
announce,19,22,19,12
shut,7,16,7,21
Serbian,25,11,14,15
Jayasuriya,8,23,25,20
Arch,30,2,3,2
Oct,14,31,6,26
SER,13,27,13,12
Bhutto,21,4,24,20
BOJ,27,13,2,6
nomination,23,26,6,22
Ballanger,24,4,27,8
Yassin,27,24,27,27
consumers,4,16,14,12
scientific,26,21,26,22
veterinary,26,16,6,22
containing,26,27,18,7
efforts,13,5,14,11
FRANKFURT,17,30,12,12
bureau,13,21,26,19
Costas,23,28,4,16
snap,14,27,14,21
Dimitris,14,10,28,24
Kontogiannis,23,1,1,6
storm,5,27,13,8
Damascus,21,3,8,12
Peace,19,10,10,10
confirm,6,5,7,21
true,14,27,27,14
pursuit,10,21,19,19
Kurds,19,11,31,2
strikes,12,16,14,21
U.S.-led,25,1,24,15
riyal,15,22,21,8
kingdom,19,27,19,19
affairs,5,20,26,19
Allenby,12,12,11,12
helicopter,12,31,19,30
Taleban,20,11,24,10
DUBAI,12,30,0,9
Afghanistan,12,10,0,9
possibly,22,16,7,21
militia,4,27,14,11
Kabul,11,30,8,9
controlled,4,27,18,0
crew,4,27,14,12
attempts,19,25,12,11
meets,13,5,26,11
sanctions,3,16,14,11
presidency,26,16,17,21
fair,14,16,18,25
Parliament,13,27,14,12
beef,15,19,14,11
bullish,22,6,9,7
mean,15,21,6,21
RESEARCH,22,16,17,4
ALERT,22,16,17,7
@-month,14,20,14,14
estimate,26,27,14,30
Thousands,22,26,7,26
except,13,27,19,19
lift,26,25,19,14
monthly,22,16,7,7
experts,19,25,14,25
SERIES,24,28,17,17
Brooks,28,29,25,9
Phil,23,28,27,20
Els,20,23,27,20
Brad,23,28,27,20
Stadler,12,13,5,6
La,18,0,29,16
aimed,14,16,14,12
disappointed,10,26,14,21
sterling,14,21,13,3
TOSHIBA,18,1,28,0
CLASSIC,24,11,15,24
CARLSBAD,27,10,0,12
Toshiba,28,1,0,0
Naoko,11,24,20,20
Kimiko,31,28,24,20
Wang,20,29,27,24
Hamlet,15,17,17,17
Joyce,27,29,27,27
Karol,14,23,28,20
Kucera,12,1,1,8
let,23,16,6,21
Close,14,27,13,4
V.,23,28,28,28
Trent,12,10,8,20
Moxon,24,4,25,8
SCOTTISH,7,11,14,15
Ferguson,24,23,1,8
served,12,21,14,14
successful,13,25,14,14
lunch,19,27,14,14
Mikael,14,15,27,20
MaliVai,31,28,4,20
Cedric,23,10,24,20
Korda,31,4,1,27
TIRANA,12,30,12,9
Winners,24,24,19,24
Chemlon,27,21,16,18
Humenne,7,30,26,1
Lithuania,11,30,8,9
Nyva,16,22,22,16
Vaduz,9,30,8,12
Hearts,1,0,2,2
determined,12,27,9,21
U.S,21,30,0,12
Fleurian,27,23,27,27
Stefan,14,24,27,16
Edberg,20,23,1,27
Agassi,20,23,1,9
Kim,31,29,24,28
Nicolas,14,28,28,20
Stephane,14,15,28,31
Andy,23,28,28,24
Johnny,23,24,24,28
Cleveland,21,13,29,6
opportunity,23,5,7,21
row,26,26,14,26
Key,6,13,27,8
bases,8,31,14,8
loaded,14,27,18,12
walk,9,5,13,8
Detroit,16,7,5,23
kick,23,27,12,12
Nilis,27,24,27,9
clearly,8,31,14,11
@-man,2,25,30,21
prix,2,5,7,4
ever,14,26,18,21
golf,10,21,27,19
Broadhurst,31,4,1,6
Eales,24,4,1,12
Marcus,14,15,24,24
SOFIA,12,10,0,6
Romanian,25,13,8,29
OFFICIAL,1,22,21,22
contents,26,16,14,21
Journal,16,2,29,16
certain,8,16,18,21
community,4,5,19,4
continues,19,26,19,19
reserve,23,16,7,21
District,5,25,26,19
resolution,3,27,19,19
Newsdesk,16,29,25,16
review,7,26,17,26
div,26,21,7,14
distribution,14,21,14,21
Best,25,6,16,5
delivered,4,21,14,4
baby,9,5,14,8
normal,15,16,18,8
brokers,0,26,7,21
active,4,4,26,3
begins,15,20,13,14
unfortunate,23,9,13,8
first-round,12,21,14,12
@th-ranked,8,26,27,25
difference,22,16,18,22
fought,5,16,9,11
Anyang,26,13,21,6
Puchon,27,6,22,6
Suwon,26,13,5,6
P,7,30,21,25
Chonan,30,6,2,6
Nigerian,13,11,0,27
veteran,6,5,7,8
Johannesburg,9,30,8,9
flow,10,27,14,26
Budapest,9,30,0,12
die,12,31,27,11
clash,0,9,17,3
command,4,21,18,19
letters,14,27,14,19
threatening,22,13,14,12
railway,10,26,14,4
rising,23,21,6,21
Kremlin,12,30,0,9
two-day,14,20,14,11
Under,22,27,6,26
taxes,13,5,9,14
briefly,0,16,18,22
BOGOTA,12,14,10,10
BUENOS,27,3,10,12
AIRES,30,14,28,4
cold,4,31,30,30
Buenos,21,14,4,18
Aires,25,14,29,7
propaganda,14,6,19,21
By,14,21,14,10
activities,14,27,12,11
custody,23,27,18,21
attempted,13,5,12,8
Despite,15,21,9,25
baht,4,5,6,4
Canberra,28,14,5,6
Information,28,14,5,1
confidence,14,27,14,4
opinion,26,27,19,12
Istanbul,17,14,5,9
militants,4,1,18,11
shed,13,27,13,11
profit-taking,10,6,7,8
@-share,14,27,10,22
Of,13,27,26,4
alleged,13,27,12,12
Kevorkian,14,4,1,28
room,4,27,30,19
Patricia,23,28,27,24
Smith,8,4,1,27
illness,12,27,26,21
abuse,3,27,19,11
judge,5,5,19,5
complex,6,16,6,21
satisfied,13,27,14,12
monitors,7,16,7,21
Algerian,20,1,28,29
TOTAL,14,27,14,14
Fax,4,27,13,4
Ballybunion,30,13,2,6
Bonn,12,30,8,9
promised,4,5,14,19
signing,15,27,14,14
carried,7,16,18,21
Treaty,25,0,5,25
weapon,23,16,18,11
DHAKA,12,30,0,12
complained,4,4,12,4
seriously,14,27,14,26
edged,6,6,7,21
turnover,26,21,17,21
taka,5,26,6,21
Bombay,20,7,0,23
alone,12,27,14,19
elect,0,27,19,25
failing,23,16,9,11
age,15,27,27,14
Dublin,8,3,5,31
Analysts,26,26,9,7
magazines,4,6,19,4
NZ,28,30,15,9
Wellington,9,30,8,12
escape,23,5,12,30
prevent,26,16,7,21
ACTUAL,14,27,18,7
YEAR-AGO,26,28,27,12
maximum,15,27,27,14
factors,15,25,27,7
....,14,27,14,14
Dow,19,1,0,10
Nikkei,17,11,10,10
various,14,6,19,12
critics,13,5,9,21
Goldman,29,2,7,28
De,20,29,20,24
MOTOR,10,17,3,3
Gerhard,14,28,27,16
Villeneuve,17,4,1,29
Hakkinen,30,4,25,8
Alesi,24,11,27,8
Damon,21,10,4,22
Olivier,14,24,27,16
[,26,26,19,7
],26,22,19,26
Karina,14,15,16,20
Habsudova,27,29,1,31
Stirling,21,2,21,2
Fairbrother,12,13,25,6
quarter-finals,15,21,27,8
pretty,14,27,14,14
means,22,16,14,21
Lindsay,23,28,27,20
Davenport,31,4,1,27
AS,9,21,7,8
faced,26,16,6,21
Thompson,23,23,25,9
personal,13,20,14,8
Sporting,16,22,2,18
restored,23,6,14,21
clocked,13,27,13,12
capacity,12,27,27,12
Zurich,18,14,5,18
@.@.@,12,30,18,30
Cea,5,4,25,8
Dennis,23,28,27,31
present,26,16,26,21
medallist,13,20,13,8
seemed,12,27,6,12
stepped,12,27,13,11
Freeman,24,4,27,27
Lopez,8,13,1,8
Irina,31,28,27,20
Sarah,20,28,27,23
Joseph,11,28,24,20
Wellman,30,29,25,1
Anton,31,23,27,20
special,15,16,18,17
Klinsmann,23,23,27,24
Legia,25,13,16,5
SRI,18,30,12,12
LANKA,19,13,28,13
shr,26,6,7,7
Bureau,29,0,29,16
affected,26,27,19,22
Research,7,8,3,16
holding,26,21,7,26
My,19,17,19,17
Maybe,14,27,14,10
Jewish,25,13,0,0
promoted,9,16,7,7
hearing,26,27,6,22
Trafford,30,14,27,4
Rwandan,13,1,0,0
nearby,4,4,18,30
assets,26,26,18,21
separatists,4,27,12,14
regular,13,31,12,8
riots,12,27,19,12
streets,14,27,14,25
stabbed,12,25,13,14
none,15,25,14,19
monitoring,3,27,13,21
Dan,23,15,28,20
corn,12,27,13,12
concerned,3,20,19,3
politics,8,5,13,11
published,15,21,17,25
Dm,25,11,17,15
showers,15,6,27,14
@-year,9,31,7,26
Bonds,16,29,25,24
set-top,12,27,3,12
enter,14,27,26,19
Corp.,7,15,5,13
SBC,25,13,1,5
generally,15,25,14,12
advanced,14,16,3,11
huge,14,21,14,14
ordering,23,16,14,21
ca,23,5,14,26
spending,13,27,14,12
striking,0,9,14,21
Niugini,29,13,3,2
surge,10,27,14,14
Promodes,25,0,0,5
discussions,26,26,30,26
highlights,26,5,14,14
Jana,31,28,28,20
JYVASKYLA,12,30,1,9
Subaru,29,13,8,17
Kankkunen,27,4,25,29
pace,5,31,12,11
Tyrrell,30,22,3,6
rally,24,28,19,3
event,13,16,7,7
Tottenham,26,13,16,18
Gianluca,31,28,24,16
Arsenal,26,22,16,5
Villa,5,30,1,9
Southampton,21,14,5,6
Bolton,17,13,2,2
Blackpool,25,13,5,15
Chesterfield,21,19,5,18
Rovers,7,7,26,16
Swansea,1,13,2,6
SOUTH,30,12,10,10
Blacks,7,30,5,13
der,20,23,31,8
Partizan,26,13,2,5
Wroclaw,9,30,5,1
Odra,1,6,29,5
BASKETBALL,7,21,7,7
defenders,8,20,13,8
Charleroi,18,19,2,31
MSV,1,18,29,18
kg,10,21,27,19
handling,26,21,6,21
internal,4,20,18,12
Opposition,9,31,14,8
unions,22,21,19,21
running,23,21,18,7
forest,4,31,13,4
arrests,14,27,14,7
accuses,4,1,30,21
stance,12,31,14,11
wo,12,27,14,26
executed,20,16,3,3
MDS,27,13,2,5
independent,22,16,7,21
effort,3,16,7,21
heads,13,5,14,8
Edouard,31,1,24,20
east,10,26,18,21
exact,14,21,21,14
member,3,26,19,5
mandate,2,27,30,12
Corsica,12,14,12,9
ancient,15,20,19,19
lawyer,8,1,14,5
bodies,4,19,19,12
kidnapping,9,31,13,8
throughout,19,20,19,19
crash,13,27,7,8
crashed,9,16,7,8
MADRID,27,30,12,10
Army,7,14,3,25
Internet,17,13,31,0
acting,23,31,14,3
marketing,7,16,6,7
vice,9,16,18,21
feet,19,19,18,19
LAKES,24,24,10,24
Escort,24,10,17,24
Erik,16,28,27,31
GTR,25,11,17,15
Fastest,13,21,13,8
drivers,14,27,6,12
Takeda,21,4,25,28
Fogarty,14,4,4,27
using,14,27,14,19
ONE-DAY,19,27,17,11
Togo,12,30,12,9
Shane,23,15,27,20
equaliser,14,21,7,26
MILAN,27,14,2,18
Fiorentina,27,2,1,5
Norwegian,20,11,14,0
Young,31,2,23,27
Baker,16,29,25,9
Blind,17,4,27,24
choice,6,16,18,21
apartheid,0,27,14,25
decide,22,16,18,21
Doboj,17,30,0,12
refugee,3,31,18,7
Moslems,25,11,17,24
powers,14,27,14,12
Mexican,17,13,31,29
linking,3,27,3,3
supplies,14,21,14,21
speaker,15,28,3,12
role,12,27,27,12
establish,24,5,26,11
ask,14,27,14,25
respect,22,16,18,21
theft,14,21,6,21
vehicle,14,21,14,21
Earlier,5,5,30,8
renewed,20,27,14,11
transition,26,25,18,3
substantial,26,16,14,12
difficulties,14,21,18,19
greatest,4,21,18,12
wait,15,27,14,26
therapy,10,25,12,3
expects,7,5,7,30
Alan,23,28,24,20
Botham,24,4,25,8
BY,22,26,7,26
FRIENDLY,4,31,19,11
swimming,23,25,7,7
Popov,16,4,25,24
Hungarian,25,1,0,0
Leon,31,2,1,28
catch,10,5,12,19
Monica,31,15,27,20
junior,14,25,14,14
Hingis,20,23,27,24
MONDAY,2,21,13,11
Oncins,21,4,2,27
Elena,11,28,28,20
Houston,27,18,29,31
ZIMBABWE,12,10,0,12
Whittall,23,4,25,20
allegations,22,16,19,21
irregularities,5,25,9,21
Election,28,15,26,16
Tass,12,13,3,2
JOSE,11,13,29,13
Defence,29,13,3,16
auctions,7,16,18,7
rail,23,31,27,4
gun,12,27,14,14
resign,3,31,14,11
board,6,16,18,7
blow,4,16,26,14
asylum,13,27,14,8
barrels,4,26,14,4
moisture,22,6,18,21
CALL,14,21,13,21
CONFIRMED,2,26,9,8
Human,7,0,26,22
Supreme,8,22,16,5
epidemic,19,27,27,19
dollars,24,16,18,25
fear,19,27,27,12
corporate,26,16,14,25
Iraqis,18,11,28,15
larger,7,16,7,7
TUESDAY,22,21,13,17
Sandra,20,28,27,20
tests,10,19,17,4
STAGE,5,5,12,12
NETHERLANDS,24,11,15,15
Palmans,17,14,3,28
Postal,7,30,5,16
Neths,9,14,4,27
Cofinec,8,13,5,2
certainly,22,5,7,21
N.J.,29,4,0,20
commander,15,27,14,12
republic,15,22,14,19
oppose,15,25,19,11
college,13,25,26,25
films,24,20,18,17
request,14,27,18,14
bulk,19,27,14,19
Rohrabacher,31,29,25,9
Maoist,7,13,28,23
festival,15,27,27,19
refined,14,27,6,3
advertising,23,21,14,21
Island,30,13,27,24
Sakai,11,10,5,9
inventories,12,6,14,12
Commodities,7,7,26,16
abuses,13,27,19,12
Saskatchewan,29,8,5,18
Heeswijk,9,11,25,8
Telekom,26,13,29,16
individual,15,16,18,21
Collinelli,25,4,6,28
Berlex,16,13,2,5
Sierra,18,8,5,31
dissidents,4,27,12,11
administrative,14,27,14,19
marijuana,12,27,14,19
Amoco,17,22,3,2
Sharif,21,29,25,8
cotton,10,27,14,10
Names,7,0,0,13
bush,26,6,13,19
Kornblum,21,4,25,24
Hamas,27,13,2,2
A-rated,14,6,12,4
Simpson,27,4,1,27
meal,14,6,12,14
Gluten,15,25,18,7
Pro,14,21,14,25
jet,13,27,14,10
kerosene,4,16,30,7
cargoes,14,22,13,12
Only,5,5,9,14
sells,10,26,14,19
atmosphere,14,27,14,14
Daily,28,2,26,22
gain,13,20,12,11
Federal,8,6,16,18
manufacturers,14,25,19,7
Porsche,17,0,15,29
fewer,22,26,14,7
Simitis,24,13,1,8
AMT,15,27,19,11
MLN,14,21,21,10
MATURITY,15,22,13,8
LISTING,14,27,12,14
NO,14,27,14,14
MANAGER,9,5,7,5
replaced,23,31,14,11
politician,22,21,18,25
retain,12,20,18,14
God,14,23,27,27
stand,3,5,19,19
resistance,4,21,14,12
Patriotic,18,18,29,16
shelling,15,16,14,11
interbank,14,17,9,11
changes,14,16,14,26
permission,12,27,12,19
civilian,15,27,14,12
guards,4,27,14,3
touch,23,31,14,14
Rabbani,27,29,24,29
Zhirinovsky,31,29,27,28
maintain,10,27,14,19
papers,13,31,13,11
attend,13,31,14,11
Vladimir,28,15,28,20
rice,4,27,18,30
threats,4,31,18,21
preparing,4,16,19,19
violation,22,21,7,22
CME,30,13,2,5
livestock,14,6,13,25
amount,15,27,14,25
notes,14,27,12,14
Southern,25,0,5,28
Balance,14,27,26,14
Monde,24,29,15,2
dated,26,26,14,26
year-on-year,10,16,17,12
Jan-April,3,31,6,3
raises,2,5,18,7
Agriculture,1,22,3,5
animals,7,6,18,21
concrete,5,1,13,5
holes,12,16,18,17
slight,12,27,19,4
link,4,27,12,12
worldwide,13,16,18,7
lifting,14,21,14,22
Billy,23,28,24,20
Stricker,12,23,1,8
Justin,28,15,27,31
Leonard,24,23,27,8
Duffy,23,15,27,20
Waldorf,24,13,1,24
Willie,23,28,16,20
VALLETTA,21,30,0,9
Henry,16,29,25,27
Sandrine,14,23,24,20
Testud,24,13,1,20
Tauziat,16,23,27,20
HAMLET,25,1,17,13
COMMACK,11,19,0,20
Sergi,25,15,27,16
Bruguera,20,1,1,6
Richey,31,15,27,20
Reneberg,12,13,7,20
Hicham,31,15,28,20
Kenny,23,28,27,20
mutual,4,16,18,14
stayed,13,26,13,21
Fulton,8,4,27,8
Wells,30,13,20,24
Worcester,9,30,8,9
Vaughan,12,4,27,8
I.,31,15,28,28
GLASGOW,12,30,0,9
caps,22,16,18,12
Celtic,26,13,2,2
DAY,15,28,17,17
UNITED,21,2,29,2
Goran,23,28,28,20
Ivanisevic,24,23,1,8
Jiri,31,28,28,20
Carlsen,24,4,10,8
Berasategui,24,4,27,29
Bohdan,16,29,27,20
Ulihrach,5,4,8,4
Henman,12,1,1,8
walkover,4,27,13,4
Tirana,11,14,8,12
penalties,2,5,14,8
Belgrade,30,7,5,9
Moldova,9,30,8,9
Kispest,18,13,29,18
Tomas,14,23,27,20
PUT,26,21,26,30
Ferencvaros,27,13,1,5
Andreas,11,28,27,20
Andersson,21,4,1,27
Juventude,16,13,2,6
Woodforde,25,23,27,27
BADMINTON,10,26,21,11
KUALA,29,30,0,12
LUMPUR,29,13,4,4
Abdul,20,15,24,16
Chen,20,29,1,27
Pete,23,23,27,20
Magnus,23,15,27,23
Mats,23,28,27,16
Bernd,31,28,28,28
Alami,24,2,1,8
Adams,8,4,25,27
Stefano,14,28,28,16
Tarango,24,29,25,27
Palmer,12,1,25,6
ORIOLES,26,13,3,6
JOHNSON,27,2,25,28
Mariners,16,7,29,2
seasons,8,21,16,21
pull,23,16,18,8
Julian,31,23,27,24
Rodriguez,21,4,1,6
Kennedy,8,23,27,9
walks,9,31,18,11
strikeouts,14,27,9,30
homers,13,27,14,12
settled,9,28,14,21
Jimmy,28,28,16,16
Stanley,16,29,28,24
owns,9,5,30,26
span,4,20,13,12
five-run,6,27,7,12
Arthur,25,2,16,31
finals,26,25,14,12
Rolf,23,28,28,31
Euro,18,8,17,29
Squad,2,27,14,7
Goalkeepers,5,5,13,7
records,14,27,17,19
STUTTGART,17,30,8,6
Riley,12,4,1,8
Retief,23,28,28,11
Goosen,31,4,1,28
Field,11,13,20,24
Pyman,20,13,1,8
Carter,12,4,25,8
Jonzon,31,4,9,24
Lomas,24,13,25,9
Armed,7,15,26,25
youth,12,27,27,11
fours,14,25,12,26
replied,15,27,6,12
JOURNAL,7,30,22,1
CONTENTS,26,28,17,5
OJ,27,19,2,6
reverse,5,5,13,5
values,14,27,27,19
END,14,27,17,26
regarding,6,16,18,21
reimbursement,6,16,18,0
related,15,27,19,19
personnel,5,27,19,0
extremely,4,27,6,21
pleased,22,26,7,21
toward,15,6,19,19
quarterly,15,27,14,12
measles,13,27,27,21
Crohn,14,28,27,28
developed,6,6,18,21
Four,15,19,7,17
pain,12,17,12,4
weight,22,16,18,25
Most,14,27,14,7
Industry,7,30,26,1
JUNE,2,21,13,30
MAY,14,16,7,12
below,4,27,12,26
buyers,15,20,18,11
pills,14,25,6,19
benefit,22,21,6,25
College,16,29,5,16
address,12,27,19,19
affect,13,27,27,25
aid,12,5,19,8
Basuki,31,4,1,8
star,14,22,14,7
affair,5,5,13,8
tested,15,25,13,12
Amanda,23,15,27,20
serving,22,21,18,14
pro-soccer,10,27,10,12
Chonnam,26,14,2,15
Pohang,11,13,26,6
Pusan,27,2,5,6
Ulsan,30,14,5,18
Chonbuk,26,19,5,16
search,9,5,9,5
painful,14,16,14,21
disarmament,15,16,26,8
Community,1,30,30,1
crackdown,10,27,14,7
washed,15,21,18,11
Nelson,20,23,1,20
visiting,9,27,30,3
attacked,13,31,13,14
garden,23,25,30,8
becoming,15,27,27,19
INDICATORS,14,17,13,12
CPI,13,1,14,0
NBH,16,13,2,5
schoolgirl,22,16,18,7
document,14,27,14,25
negotiated,13,5,30,14
Tatyana,31,28,27,20
SARAJEVO,30,30,11,10
Sarajevo,12,30,8,12
Deutsche,18,22,3,18
residents,10,27,27,12
raids,4,20,19,30
planes,4,31,12,12
Colombian,7,11,0,15
Pacific,16,14,5,31
fuel,26,16,6,14
hostages,15,22,12,12
regime,12,27,14,14
street,14,27,14,21
hunting,15,17,18,19
nations,0,16,18,19
colony,0,22,18,19
conservative,9,16,30,21
anyone,23,16,6,21
insisted,23,16,7,7
resulted,13,5,13,8
mistakes,23,16,9,21
explain,12,27,14,14
sure,15,27,14,26
aviation,26,26,19,8
Mubarak,8,4,24,9
Front,7,15,5,13
amid,15,27,27,12
lira,23,21,14,12
Miss,25,0,23,18
Angeles,16,15,29,13
returning,13,31,14,14
putting,26,27,18,21
happened,23,16,18,21
routine,0,16,14,8
doctor,4,31,14,4
Massachusetts,9,14,0,9
Announcement,2,27,19,7
Issuer,9,16,18,0
Expected,15,27,19,14
network,15,25,19,25
prosecutor,9,5,30,11
truth,15,27,19,19
spent,26,27,6,19
arrangements,9,16,30,21
secretary-general,9,31,14,11
briefing,5,5,19,12
killers,6,16,6,7
flown,15,22,14,14
Air,18,13,29,28
Cargo,25,14,29,13
DUBLIN,9,30,8,9
read,7,16,7,7
packed,15,6,14,12
schedule,26,27,19,4
threat,12,27,14,12
DELHI,30,13,24,4
Gujral,20,29,25,11
written,15,25,19,19
Conference,18,0,31,29
Geneva,27,4,11,12
impossible,12,5,12,5
Mia,31,4,27,27
arriving,4,27,14,30
murdered,10,27,14,19
reasons,3,16,18,21
governments,4,22,14,12
nationals,24,26,14,11
troubled,10,5,13,3
dozen,23,21,18,7
militant,0,27,14,11
ratio,2,26,13,30
interview,13,16,7,12
increasing,7,16,6,30
stood,10,6,6,12
reduce,15,27,14,14
response,8,20,13,30
BOMBAY,9,10,0,9
love,14,25,6,14
intensive,4,21,14,11
Vatican,11,30,8,12
Missionaries,18,0,16,28
Charity,21,29,26,22
treated,14,27,14,12
Rome,11,30,8,9
award,12,17,26,19
stopped,12,27,14,4
Order,14,5,14,4
Bernard,8,23,27,24
comments,22,5,18,26
Times,7,30,5,16
offset,4,26,13,12
equipment,10,26,14,26
Bangkok,9,30,5,9
parent,7,16,7,21
Parent,14,27,17,14
projects,12,31,19,19
ounce,15,19,14,11
signs,12,27,13,14
definitely,15,21,14,21
replace,8,5,14,11
trades,26,16,7,26
repeatedly,12,27,12,19
Kiev,28,30,0,9
itself,12,27,14,19
strategic,23,1,19,21
partner,26,16,14,21
closer,9,27,14,12
barter,12,27,12,12
Brian,23,28,24,20
Coulthard,16,1,25,8
Heinz-Harald,28,24,27,28
Frentzen,24,4,1,6
Brundle,16,16,7,6
Rubens,28,28,24,28
Barrichello,16,1,7,6
Herbert,9,13,27,8
Panis,24,1,11,27
CORRECTED,14,26,12,3
Gooch,24,13,1,8
Robinson,24,4,1,27
Blakey,12,4,27,8
Middlesbrough,17,13,5,6
inside,20,31,13,11
fun,14,27,14,14
Day,24,24,15,24
Americans,7,11,10,2
missed,20,31,12,30
bed,10,21,12,14
check,5,5,12,13
speculation,26,27,7,12
wing,14,31,14,13
Championships,24,24,15,24
FRIDAY,2,21,19,17
Edgar,16,28,27,23
starter,5,5,13,8
getting,23,9,9,11
Fernandez,24,1,1,24
Luis,31,15,27,20
rivals,26,26,6,26
Portuguese,18,11,8,0
thanks,9,5,14,30
BREAKS,13,22,13,12
Warner,20,1,23,9
Mutola,20,4,27,24
bonus,15,16,7,8
historic,3,20,13,3
plus,15,1,3,11
Mozambique,30,30,5,12
Ames,4,4,1,4
Chapman,24,4,27,8
Barry,23,28,27,28
Bailey,8,23,25,20
Kingdom,11,13,27,24
faster,14,5,12,8
Natalya,31,28,27,20
Allen,27,4,27,9
Ezinwa,24,13,11,20
Jon,23,28,27,20
Laurent,23,15,24,20
Natalia,31,28,27,20
Juergen,14,28,27,28
Markov,12,13,11,8
Francis,14,28,27,20
Rui,20,24,27,20
KEEPS,9,16,9,0
Zabrze,16,30,0,9
Jens,28,28,28,28
Oliver,23,15,16,28
Helmer,14,4,25,20
AUSTRALIA,12,30,0,12
cleared,0,28,9,26
controversial,15,27,27,19
excellent,14,16,6,21
Healy,20,23,25,29
ANGOLA,18,30,5,10
Angolan,13,13,0,0
TUE,0,30,7,26
THU,0,30,9,26
falls,2,16,18,21
developments,4,26,26,7
long-term,4,5,9,4
MIAMI,12,30,12,6
assessment,12,31,19,21
SEA,30,13,29,4
IOC,30,2,2,5
Sea,19,25,12,4
Akron,17,19,5,5
worst,13,21,7,21
application,7,22,18,21
Arabs,15,11,10,24
founded,14,25,19,19
stadium,4,31,14,30
LAGOS,12,30,12,9
Agency,21,7,28,16
destroyed,4,6,14,12
perpetrators,14,27,12,19
fled,14,27,14,12
Kohl,27,23,24,9
materials,26,21,14,21
base,14,27,27,12
Maskhadov,16,29,1,9
joint,15,16,17,19
lunches,15,25,14,14
sectors,14,21,19,12
elected,13,31,13,12
Affairs,20,20,30,14
Deputy,3,27,14,11
bread,14,27,14,19
AMMAN,12,30,0,10
blame,14,27,19,21
southeast,4,5,13,30
taxi,12,27,12,4
specific,20,20,19,11
apparently,14,27,14,12
identified,12,28,14,12
Weld,12,23,1,27
